Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
MEIM.S1WA,1999.04,77008,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,1999.05,69073,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,1999.06,64069,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,1999.07,64644,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,1999.08,66051,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,1999.09,68194,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,1999.10,71766,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,1999.11,77935,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,1999.12,85653,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2000.01,81383,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2000.02,80265,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2000.03,82161,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2000.04,75250,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2000.05,72103,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2000.06,67832,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2000.07,68966,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2000.08,70071,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2000.09,70812,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2000.10,74133,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2000.11,79948,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2000.12,89015,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2001.01,85849,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2001.02,82646,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2001.03,84919,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
